brand,model,year,mileage,drivetrain,msrp,current_value
Ford,Fusion SE,2011,193970,FWD,23562,3000.0
Chevrolet,Equinox Premier,2024,7244,AWD,26698,22532.13
Kia,Sportage SX,2022,58638,AWD,40902,21031.08
Mazda,CX-5 Signature,2015,63510,AWD,38300,3964.52
Subaru,Impreza Sport,2021,20464,AWD,24633,11857.31
Volkswagen,Tiguan SE,2015,230000,AWD,40238,3000.0
BMW,X5 M,2006,455031,AWD,56293,3000.0
Mercedes-Benz,E350,2008,338912,RWD,49571,3000.0
Lexus,ES 350,2012,89947,FWD,40782,3000.0
Honda,Pilot Touring,2009,192768,AWD,26297,3000.0
Toyota,Camry SE,2006,116850,FWD,33032,3000.0
Hyundai,Sonata SE,2018,51534,FWD,32608,7271.87
Nissan,Altima S,2017,121136,FWD,23794,3000.0
Ford,Fusion SE,2022,72060,FWD,38771,19111.99
Chevrolet,Malibu LT,2007,255150,FWD,37007,3000.0
Kia,Sportage SX,2011,326648,AWD,43976,3000.0
Mazda,Mazda3 Touring,2010,246345,FWD,40108,3000.0
Subaru,Impreza Sport,2016,100512,AWD,24465,3000.0
Volkswagen,Tiguan SE,2012,260104,AWD,26315,3000.0
BMW,X3 xDrive30i,2023,36696,AWD,62882,42222.06
Mercedes-Benz,GLC 300,2023,13198,AWD,42371,29825.96
Lexus,ES 350,2006,191824,FWD,37280,3000.0
Honda,CR-V EX,2005,483860,AWD,35890,3000.0
Toyota,Highlander XLE,2012,181363,AWD,24728,3000.0
Hyundai,Sonata SE,2012,212199,FWD,38550,3000.0
Nissan,Sentra SV,2016,154602,FWD,42607,3000.0
Ford,Escape SEL,2024,10791,AWD,35014,29447.04
Chevrolet,Malibu LT,2022,44166,FWD,40341,21693.56
Kia,Forte EX,2018,117348,FWD,35169,4792.19
Mazda,CX-5 Signature,2023,44816,AWD,41315,27284.65
Subaru,Legacy Premium,2017,101448,AWD,43786,5160.78
Volkswagen,Passat R-Line,2020,77540,FWD,35658,10655.29
BMW,330i,2021,95484,RWD,42788,15074.91
Mercedes-Benz,GLC 300,2006,148124,AWD,35183,3000.0
Lexus,RX 350,2013,106968,AWD,53749,3000.0
Honda,Pilot Touring,2007,189108,AWD,28342,3000.0
Toyota,Camry SE,2020,45115,FWD,30166,10675.26
Hyundai,Sonata SE,2012,108745,FWD,41705,3000.0
Nissan,Rogue SL,2009,147120,AWD,27015,3000.0
Ford,Fusion SE,2009,100560,FWD,41893,3000.0
Chevrolet,Equinox Premier,2008,249883,AWD,30172,3000.0
Kia,Forte EX,2021,88132,FWD,41114,14951.42
Mazda,Mazda6 Grand Touring,2013,76416,FWD,41700,3000.0
Subaru,Impreza Sport,2011,195930,AWD,37498,3000.0
Volkswagen,Passat R-Line,2016,167967,FWD,31749,3000.0
BMW,330i,2022,71145,RWD,35405,17503.32
Mercedes-Benz,C300,2024,10888,RWD,50220,42231.34
Lexus,IS 300,2010,253575,RWD,39943,3000.0
Honda,Civic EX,2009,163680,FWD,28406,3000.0
Toyota,Camry SE,2020,66605,FWD,34760,11003.68
Hyundai,Elantra SEL,2008,290700,FWD,28942,3000.0
Nissan,Rogue SL,2007,215118,AWD,29367,3000.0
Ford,Escape SEL,2006,382413,AWD,28770,3000.0
Chevrolet,Equinox Premier,2005,481060,AWD,40933,3000.0
Kia,Forte EX,2013,194280,FWD,39132,3000.0
Mazda,CX-5 Signature,2014,159775,AWD,42037,3000.0
Subaru,Outback Limited,2021,84896,AWD,35691,13160.53
Volkswagen,Passat R-Line,2006,425562,FWD,41424,3000.0
BMW,X5 M,2006,353419,AWD,57967,3000.0
Mercedes-Benz,GLC 300,2007,290700,AWD,43592,3000.0
Lexus,ES 350,2011,224574,FWD,49957,3000.0
Honda,CR-V EX,2013,160848,AWD,31980,3000.0
Toyota,RAV4 XLE,2022,54207,AWD,36417,18985.09
Hyundai,Elantra SEL,2016,105138,FWD,44102,3837.31
Nissan,Sentra SV,2009,105248,FWD,29546,3000.0
Ford,Focus Titanium,2021,65340,FWD,36183,14493.54
Chevrolet,Malibu LT,2017,91320,FWD,42231,5433.88
Kia,Optima LX,2018,94696,FWD,22882,3708.65
Mazda,CX-5 Signature,2020,67800,AWD,41933,13191.39
Subaru,Legacy Premium,2022,33297,AWD,41897,23291.56
Volkswagen,Jetta S,2009,352944,FWD,32763,3000.0
BMW,X3 xDrive30i,2015,73260,AWD,55327,5169.3
Mercedes-Benz,C300,2021,33812,RWD,49119,22405.95
Lexus,IS 300,2016,136422,RWD,37011,3000.0
Honda,Civic EX,2016,198405,FWD,31649,3000.0
Toyota,RAV4 XLE,2019,98958,AWD,39225,8019.59
Hyundai,Elantra SEL,2006,148067,FWD,43994,3000.0
Nissan,Sentra SV,2022,26424,FWD,30964,17575.86
Ford,Escape SEL,2021,35884,AWD,39461,17849.59
Chevrolet,Cruze LS,2007,345078,FWD,37932,3000.0
Kia,Sportage SX,2008,261681,AWD,29282,3000.0
Mazda,CX-5 Signature,2020,78120,AWD,43309,12901.79
Subaru,Outback Limited,2021,91780,AWD,25602,9165.42
Volkswagen,Tiguan SE,2023,21360,AWD,43038,29806.26
BMW,X5 M,2018,116697,AWD,56593,7750.47
Mercedes-Benz,GLC 300,2011,159348,AWD,48545,3000.0
Lexus,ES 350,2024,24518,FWD,61468,50991.91
Honda,Pilot Touring,2007,179460,AWD,35925,3000.0
Toyota,Camry SE,2010,270825,FWD,40930,3000.0
Hyundai,Tucson SEL,2005,223880,AWD,25466,3000.0
Nissan,Sentra SV,2017,141232,FWD,36559,3023.7
Ford,Fusion SE,2014,262988,FWD,25802,3000.0
Chevrolet,Equinox Premier,2010,113715,AWD,38941,3000.0
Kia,Optima LX,2022,71001,FWD,23416,11581.54
Mazda,Mazda6 Grand Touring,2020,89545,FWD,36321,10179.55
Subaru,Legacy Premium,2018,108108,AWD,32798,4799.35
Volkswagen,Passat R-Line,2012,299819,FWD,24486,3000.0
BMW,330i,2008,140097,RWD,46796,3000.0
Mercedes-Benz,GLC 300,2011,122682,AWD,46518,3000.0
Lexus,ES 350,2017,170240,FWD,55586,3514.68
Honda,Pilot Touring,2023,27452,AWD,39294,26882.32
Toyota,Corolla LE,2016,153126,FWD,24108,3000.0
Hyundai,Tucson SEL,2012,141960,AWD,29698,3000.0
Nissan,Altima S,2017,176368,FWD,42890,3000.0
Ford,Escape SEL,2009,166192,AWD,38194,3000.0
Chevrolet,Malibu LT,2005,201460,FWD,38757,3000.0
Kia,Forte EX,2019,83826,FWD,43776,9869.34
Mazda,Mazda3 Touring,2018,111258,FWD,41419,5915.82
Subaru,Legacy Premium,2007,128952,AWD,28689,3000.0
Volkswagen,Passat R-Line,2023,22676,FWD,32189,22234.0
BMW,330i,2007,407772,RWD,45532,3000.0
Mercedes-Benz,GLC 300,2015,227120,AWD,40075,3000.0
Lexus,ES 350,2009,260800,FWD,41690,3000.0
Honda,Accord LX,2013,251808,FWD,35677,3000.0
Toyota,Highlander XLE,2022,29298,AWD,34634,19488.93
Hyundai,Tucson SEL,2009,381296,AWD,42956,3000.0
Nissan,Rogue SL,2011,345044,AWD,26569,3000.0
Ford,Focus Titanium,2005,195100,FWD,38114,3000.0
Chevrolet,Equinox Premier,2009,366832,AWD,35279,3000.0
Kia,Forte EX,2006,439033,FWD,26766,3000.0
Mazda,Mazda6 Grand Touring,2008,258893,FWD,31508,3000.0
Subaru,Legacy Premium,2014,209352,AWD,25348,3000.0
Volkswagen,Passat R-Line,2013,185244,FWD,37473,3000.0
BMW,X3 xDrive30i,2006,466659,AWD,38868,3000.0
Mercedes-Benz,E350,2011,100688,RWD,35913,3000.0
Lexus,IS 300,2012,71461,RWD,62956,3000.0
Honda,CR-V EX,2023,21100,AWD,26055,18053.97
Toyota,Corolla LE,2014,142274,FWD,43605,3000.0
Hyundai,Tucson SEL,2005,329420,AWD,33743,3000.0
Nissan,Altima S,2008,216835,FWD,33230,3000.0
Ford,Escape SEL,2007,261630,AWD,39491,3000.0
Chevrolet,Malibu LT,2020,78930,FWD,22923,6799.47
Kia,Optima LX,2011,217728,FWD,34516,3000.0
Mazda,CX-5 Signature,2007,419544,AWD,27439,3000.0
Subaru,Impreza Sport,2023,35924,AWD,31542,21212.12
Volkswagen,Tiguan SE,2021,38168,AWD,42963,19253.88
BMW,X5 M,2010,101805,AWD,52404,3000.0
Mercedes-Benz,GLC 300,2012,263848,AWD,57207,3000.0
Lexus,IS 300,2017,161200,RWD,52856,3637.31
Honda,Pilot Touring,2013,296256,AWD,27005,3000.0
Toyota,Camry SE,2011,213822,FWD,38249,3000.0
Hyundai,Elantra SEL,2019,59676,FWD,25393,6670.11
Nissan,Rogue SL,2024,5495,AWD,25873,21873.57
Ford,Fusion SE,2012,74451,FWD,30829,3000.0
Chevrolet,Equinox Premier,2010,174195,AWD,34644,3000.0
Kia,Optima LX,2016,129735,FWD,42849,3000.0
Mazda,Mazda6 Grand Touring,2016,165825,FWD,37150,3000.0
Subaru,Legacy Premium,2013,182892,AWD,43908,3000.0
Volkswagen,Jetta S,2020,74010,FWD,25342,7715.56
BMW,330i,2014,263164,RWD,52924,3000.0
Mercedes-Benz,C300,2018,141750,RWD,32348,3638.36
Lexus,IS 300,2014,110891,RWD,31177,3000.0
Honda,Accord LX,2024,5592,FWD,37948,32078.96
Toyota,RAV4 XLE,2015,55160,AWD,25417,3000.0
Hyundai,Sonata SE,2019,80178,FWD,30964,7145.67
Nissan,Sentra SV,2015,123000,FWD,23026,3000.0
Ford,Focus Titanium,2015,117470,FWD,29298,3000.0
Chevrolet,Malibu LT,2023,16216,FWD,40348,28231.9
Kia,Forte EX,2007,231606,FWD,43992,3000.0
Mazda,Mazda6 Grand Touring,2006,236854,FWD,43259,3000.0
Subaru,Impreza Sport,2022,36975,AWD,33638,18491.84
Volkswagen,Tiguan SE,2014,193171,AWD,27337,3000.0
BMW,X5 M,2020,32915,AWD,68090,25641.88
Mercedes-Benz,E350,2021,67004,RWD,47039,18711.02
Lexus,IS 300,2014,146421,RWD,49946,3000.0
Honda,Accord LX,2018,47789,FWD,40826,9353.88
Toyota,Camry SE,2020,108350,FWD,42277,10698.89
Hyundai,Sonata SE,2009,252640,FWD,24420,3000.0
Nissan,Altima S,2009,91520,FWD,23782,3000.0
Ford,Fusion SE,2012,204776,FWD,37551,3000.0
Chevrolet,Malibu LT,2008,172397,FWD,40185,3000.0
Kia,Forte EX,2008,189992,FWD,37198,3000.0
Mazda,Mazda6 Grand Touring,2005,408800,FWD,22087,3000.0
Subaru,Legacy Premium,2015,111340,AWD,27127,3000.0
Volkswagen,Tiguan SE,2023,18884,AWD,39847,27733.33
BMW,X3 xDrive30i,2023,18092,AWD,45182,31496.24
Mercedes-Benz,E350,2021,45780,RWD,57176,24838.02
Lexus,IS 300,2022,68514,RWD,42643,21257.45
Honda,Accord LX,2008,208624,FWD,32464,3000.0
Toyota,RAV4 XLE,2019,109848,AWD,41150,7833.68
Hyundai,Tucson SEL,2006,428431,AWD,32444,3000.0
Nissan,Altima S,2023,38122,FWD,38220,25588.41
Ford,Focus Titanium,2008,330956,FWD,32828,3000.0
Chevrolet,Malibu LT,2006,178676,FWD,34396,3000.0
Kia,Forte EX,2023,21128,FWD,35192,24383.79
Mazda,Mazda3 Touring,2014,145123,FWD,29367,3000.0
Subaru,Outback Limited,2014,123145,AWD,44045,3000.0
Volkswagen,Jetta S,2019,113994,FWD,36241,6712.73
BMW,330i,2008,135337,RWD,43260,3000.0
Mercedes-Benz,E350,2022,72396,RWD,44422,21874.34
Lexus,IS 300,2022,66234,RWD,57090,28664.33
Honda,Accord LX,2009,252384,FWD,42590,3000.0
Toyota,Corolla LE,2018,85463,FWD,41419,7196.25
Hyundai,Elantra SEL,2005,308780,FWD,27967,3000.0
Nissan,Rogue SL,2017,45200,AWD,37353,7082.71
Ford,Fusion SE,2021,37096,FWD,33514,15085.01
Chevrolet,Malibu LT,2010,208935,FWD,33997,3000.0
Kia,Sportage SX,2017,174352,AWD,34048,3000.0
Mazda,CX-5 Signature,2015,223580,AWD,32774,3000.0
Subaru,Impreza Sport,2010,342135,AWD,43957,3000.0
Volkswagen,Passat R-Line,2015,88810,FWD,31316,3000.0
BMW,330i,2023,36474,RWD,34263,23016.25
Mercedes-Benz,C300,2005,107540,RWD,61166,3000.0
Lexus,ES 350,2006,277362,FWD,60556,3000.0
Honda,Civic EX,2012,156273,FWD,41743,3000.0
Toyota,Camry SE,2013,294468,FWD,35968,3000.0
Hyundai,Sonata SE,2013,269172,FWD,41822,3000.0
Nissan,Rogue SL,2024,24919,AWD,44522,36919.16
Ford,Escape SEL,2009,165984,AWD,22889,3000.0
Chevrolet,Equinox Premier,2008,414919,AWD,42055,3000.0
Kia,Optima LX,2019,35724,FWD,36221,11029.97
Mazda,Mazda3 Touring,2017,89936,FWD,26061,3393.47
Subaru,Impreza Sport,2013,194772,AWD,37283,3000.0
Volkswagen,Jetta S,2019,52080,FWD,29376,8089.88
BMW,X3 xDrive30i,2021,22740,AWD,41452,19772.16
Mercedes-Benz,E350,2024,16407,RWD,40010,33461.46
Lexus,ES 350,2005,319260,FWD,54728,3000.0
Honda,Civic EX,2017,163544,FWD,31783,3000.0
Toyota,Camry SE,2024,22102,FWD,24570,20431.96
Hyundai,Tucson SEL,2018,124397,AWD,31083,4009.25
Nissan,Rogue SL,2008,420121,AWD,36815,3000.0
Ford,Fusion SE,2010,365625,FWD,32972,3000.0
Chevrolet,Cruze LS,2017,51792,FWD,26924,4835.47
Kia,Sportage SX,2012,126360,AWD,27159,3000.0
Mazda,CX-5 Signature,2012,88309,AWD,43077,3000.0
Subaru,Impreza Sport,2010,298605,AWD,37671,3000.0
Volkswagen,Tiguan SE,2016,139518,AWD,34116,3000.0
BMW,330i,2020,103630,RWD,56484,14668.09
Mercedes-Benz,C300,2005,407820,RWD,55829,3000.0
Lexus,ES 350,2024,17034,FWD,60004,50151.64
Honda,CR-V EX,2008,391952,AWD,38225,3000.0
Toyota,Corolla LE,2020,122400,FWD,22615,5295.47
Hyundai,Elantra SEL,2011,340354,FWD,37119,3000.0
Nissan,Sentra SV,2007,171720,FWD,44036,3000.0
Ford,Fusion SE,2006,459249,FWD,42125,3000.0
Chevrolet,Cruze LS,2013,65712,FWD,26109,3000.0
Kia,Optima LX,2013,153288,FWD,39514,3000.0
Mazda,CX-5 Signature,2024,7879,AWD,26186,22086.17
Subaru,Legacy Premium,2012,195702,AWD,30426,3000.0
Volkswagen,Tiguan SE,2011,127904,AWD,28125,3000.0
BMW,330i,2015,163090,RWD,44489,3000.0
Mercedes-Benz,E350,2022,23205,RWD,40674,23312.6
Lexus,ES 350,2010,345900,FWD,62705,3000.0
Honda,Civic EX,2010,279495,FWD,24577,3000.0
Toyota,RAV4 XLE,2022,74157,AWD,27484,13458.4
Hyundai,Elantra SEL,2015,222060,FWD,34052,3000.0
Nissan,Altima S,2011,230776,FWD,23237,3000.0
Ford,Focus Titanium,2008,145112,FWD,29094,3000.0
Chevrolet,Malibu LT,2023,34452,FWD,24059,16228.21
Kia,Optima LX,2009,350384,FWD,38643,3000.0
Mazda,CX-5 Signature,2020,68385,AWD,41143,12903.16
Subaru,Impreza Sport,2020,98110,AWD,25299,6770.06
Volkswagen,Jetta S,2013,107268,FWD,44563,3000.0
BMW,X5 M,2009,303344,AWD,67954,3000.0
Mercedes-Benz,E350,2019,30390,RWD,50749,15963.37
Lexus,ES 350,2017,109744,FWD,42893,4701.59
Honda,Accord LX,2017,75168,FWD,22924,3385.92
Toyota,RAV4 XLE,2022,35235,AWD,34474,19052.23
Hyundai,Sonata SE,2021,31528,FWD,26263,12091.41
Nissan,Sentra SV,2023,41972,FWD,26689,17728.52
Ford,Escape SEL,2005,144040,AWD,27092,3000.0
Chevrolet,Cruze LS,2017,141000,FWD,22706,3000.0
Kia,Sportage SX,2015,57160,AWD,43867,4851.4
Mazda,CX-5 Signature,2011,198450,AWD,25417,3000.0
Subaru,Impreza Sport,2010,140670,AWD,28840,3000.0
Volkswagen,Jetta S,2012,197548,FWD,22054,3000.0
BMW,X3 xDrive30i,2009,353792,AWD,54611,3000.0
Mercedes-Benz,GLC 300,2014,243639,AWD,44991,3000.0
Lexus,IS 300,2022,30243,RWD,57714,32383.46
Honda,CR-V EX,2021,24156,AWD,42531,20171.86
Toyota,Camry SE,2022,51690,FWD,27025,14199.24
Hyundai,Elantra SEL,2015,176260,FWD,30817,3000.0
Nissan,Rogue SL,2016,164538,AWD,34103,3000.0
Ford,Focus Titanium,2018,127295,FWD,42234,5325.36
Chevrolet,Malibu LT,2010,156585,FWD,36224,3000.0
Kia,Optima LX,2020,43400,FWD,42008,14997.17
Mazda,Mazda3 Touring,2015,152430,FWD,25626,3000.0
Subaru,Outback Limited,2011,332668,AWD,32163,3000.0
Volkswagen,Tiguan SE,2022,35607,AWD,22716,12539.89
BMW,X3 xDrive30i,2013,195600,AWD,59713,3000.0
Mercedes-Benz,E350,2024,10829,RWD,35352,29730.18
Lexus,IS 300,2014,217382,RWD,49568,3000.0
Honda,Civic EX,2022,70395,FWD,23128,11461.02
Toyota,Highlander XLE,2013,134484,AWD,32467,3000.0
Hyundai,Elantra SEL,2023,26568,FWD,23860,16352.5
Nissan,Altima S,2015,110950,FWD,43339,3000.0
Ford,Focus Titanium,2020,80430,FWD,41757,12287.65
Chevrolet,Equinox Premier,2021,97056,AWD,33236,11630.15
Kia,Sportage SX,2010,265350,AWD,39566,3000.0
Mazda,Mazda3 Touring,2012,194935,FWD,29419,3000.0
Subaru,Legacy Premium,2021,22000,AWD,25868,12375.42
Volkswagen,Passat R-Line,2006,252567,FWD,34711,3000.0
BMW,330i,2005,371960,RWD,45698,3000.0
Mercedes-Benz,C300,2023,43052,RWD,60471,40079.99
Lexus,RX 350,2007,118530,AWD,46405,3000.0
Honda,Civic EX,2018,163107,FWD,26543,3000.0
Toyota,RAV4 XLE,2020,33875,AWD,34799,13041.28
Hyundai,Sonata SE,2005,407820,FWD,36872,3000.0
Nissan,Sentra SV,2010,217845,FWD,23948,3000.0
Ford,Focus Titanium,2016,76815,FWD,43825,5017.21
Chevrolet,Malibu LT,2011,88662,FWD,39382,3000.0
Kia,Optima LX,2020,53645,FWD,27356,9264.67
Mazda,Mazda6 Grand Touring,2006,169271,FWD,42279,3000.0
Subaru,Legacy Premium,2022,57021,AWD,41906,21656.23
Volkswagen,Passat R-Line,2013,246708,FWD,40719,3000.0
BMW,X3 xDrive30i,2006,159258,AWD,55475,3000.0
Mercedes-Benz,E350,2013,60168,RWD,30123,3000.0
Lexus,IS 300,2007,105048,RWD,37770,3000.0
Honda,Pilot Touring,2011,88830,AWD,41200,3000.0
Toyota,RAV4 XLE,2011,244678,AWD,40668,3000.0
Hyundai,Sonata SE,2008,156026,FWD,39722,3000.0
Nissan,Altima S,2023,36002,FWD,37816,25427.38
Ford,Escape SEL,2012,151827,AWD,41130,3000.0
Chevrolet,Equinox Premier,2008,164934,AWD,31222,3000.0
Kia,Forte EX,2006,438254,FWD,43702,3000.0
Mazda,Mazda6 Grand Touring,2022,54612,FWD,29215,15211.35
Subaru,Outback Limited,2013,229080,AWD,25594,3000.0
Volkswagen,Passat R-Line,2013,114504,FWD,42158,3000.0
BMW,330i,2013,234576,RWD,40800,3000.0
Mercedes-Benz,C300,2017,147736,RWD,46247,3604.27
Lexus,IS 300,2015,244330,RWD,34586,3000.0
Honda,CR-V EX,2024,9138,AWD,22231,18727.06
Toyota,RAV4 XLE,2005,322340,AWD,33705,3000.0
Hyundai,Sonata SE,2021,90224,FWD,43443,15656.99
Nissan,Altima S,2020,117245,FWD,23892,5756.99
Ford,Focus Titanium,2016,95976,FWD,38913,3703.5
Chevrolet,Malibu LT,2008,276913,FWD,33281,3000.0
Kia,Optima LX,2021,23292,FWD,34183,16268.85
Mazda,Mazda3 Touring,2021,74560,FWD,26127,10067.01
Subaru,Outback Limited,2009,136736,AWD,40883,3000.0
Volkswagen,Tiguan SE,2007,95256,AWD,42522,3000.0
BMW,X5 M,2022,69513,AWD,49270,24483.72
Mercedes-Benz,C300,2014,95964,RWD,51936,3000.0
Lexus,ES 350,2021,96268,FWD,37584,13196.6
Honda,CR-V EX,2008,329103,AWD,44487,3000.0
Toyota,RAV4 XLE,2021,66396,AWD,33976,13549.38
Hyundai,Elantra SEL,2014,180246,FWD,27586,3000.0
Nissan,Rogue SL,2013,67116,AWD,38774,3000.0
Ford,Escape SEL,2020,105770,AWD,33590,8621.47
Chevrolet,Malibu LT,2018,84896,FWD,22066,3850.12
Kia,Optima LX,2006,199557,FWD,44894,3000.0
Mazda,Mazda6 Grand Touring,2013,129504,FWD,34085,3000.0
Subaru,Legacy Premium,2015,205580,AWD,42766,3000.0
Volkswagen,Jetta S,2016,204732,FWD,22619,3000.0
BMW,330i,2021,80952,RWD,37971,14238.96
Mercedes-Benz,C300,2005,113620,RWD,61755,3000.0
Lexus,RX 350,2022,59097,AWD,65937,33855.1
Honda,Pilot Touring,2022,64011,AWD,23079,11668.95
Toyota,RAV4 XLE,2008,219487,AWD,29268,3000.0
Hyundai,Sonata SE,2017,93352,FWD,43093,5448.48
Nissan,Sentra SV,2006,121923,FWD,43466,3000.0
Ford,Escape SEL,2008,423725,AWD,40690,3000.0
Chevrolet,Equinox Premier,2017,143176,AWD,32640,3000.0
Kia,Optima LX,2007,240750,FWD,39199,3000.0
Mazda,Mazda3 Touring,2017,120360,FWD,30768,3070.43
Subaru,Legacy Premium,2019,37470,AWD,30307,9131.25
Volkswagen,Jetta S,2016,166482,FWD,24616,3000.0
BMW,X5 M,2016,137232,AWD,56046,3536.17
Mercedes-Benz,GLC 300,2015,134270,AWD,36684,3000.0
Lexus,IS 300,2014,209957,RWD,46686,3000.0
Honda,Civic EX,2008,416636,FWD,33733,3000.0
Toyota,Camry SE,2022,55368,FWD,38358,19924.95
Hyundai,Sonata SE,2009,269888,FWD,37175,3000.0
Nissan,Rogue SL,2010,189015,AWD,35724,3000.0
Ford,Fusion SE,2018,36288,FWD,43723,10877.2
Chevrolet,Equinox Premier,2024,20817,AWD,33591,27969.63
Kia,Optima LX,2021,66244,FWD,25189,10051.6
Mazda,Mazda6 Grand Touring,2013,88284,FWD,26694,3000.0
Subaru,Legacy Premium,2019,95652,AWD,37726,7880.73
Volkswagen,Tiguan SE,2013,243756,AWD,22663,3000.0
BMW,330i,2019,125796,RWD,42062,7201.49
Mercedes-Benz,GLC 300,2017,79776,AWD,50544,7179.1
Lexus,ES 350,2013,188424,FWD,40565,3000.0
Honda,Pilot Touring,2023,45210,AWD,25018,16508.68
Toyota,RAV4 XLE,2005,139860,AWD,42080,3000.0
Hyundai,Tucson SEL,2006,220780,AWD,33386,3000.0
Nissan,Sentra SV,2017,147584,FWD,41157,3212.05
Ford,Fusion SE,2021,56856,FWD,29496,12240.61
Chevrolet,Cruze LS,2018,121744,FWD,36855,4853.2
Kia,Sportage SX,2018,162288,AWD,22708,3000.0
Mazda,Mazda3 Touring,2024,14408,FWD,28901,24218.85
Subaru,Legacy Premium,2013,232056,AWD,39078,3000.0
Volkswagen,Passat R-Line,2019,117852,FWD,33184,5991.12
BMW,X5 M,2024,19743,AWD,67020,55864.35
Mercedes-Benz,E350,2015,232980,RWD,37287,3000.0
Lexus,IS 300,2015,244500,RWD,44101,3000.0
Honda,CR-V EX,2023,47692,AWD,34145,22416.73
Toyota,Corolla LE,2016,207441,FWD,34081,3000.0
Hyundai,Tucson SEL,2006,136021,AWD,34507,3000.0
Nissan,Altima S,2010,183630,FWD,22833,3000.0
Ford,Fusion SE,2018,148806,FWD,24318,3000.0
Chevrolet,Cruze LS,2016,200880,FWD,22972,3000.0
Kia,Sportage SX,2011,90930,AWD,24986,3000.0
Mazda,Mazda6 Grand Touring,2007,98532,FWD,43899,3000.0
Subaru,Legacy Premium,2005,410380,AWD,31231,3000.0
Volkswagen,Tiguan SE,2013,65292,AWD,34918,3000.0
BMW,X3 xDrive30i,2022,15051,AWD,40363,23706.74
Mercedes-Benz,GLC 300,2018,147231,AWD,61344,6603.87
Lexus,IS 300,2015,245990,RWD,60473,3000.0
Honda,CR-V EX,2021,47780,AWD,34997,15078.7
Toyota,Highlander XLE,2013,285516,AWD,24945,3000.0
Hyundai,Sonata SE,2015,55430,FWD,34338,3866.34
Nissan,Sentra SV,2021,84940,FWD,40209,14823.69
